,acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0,0.0004,['Godsmack'],0.505,334893.0,5.581549999999999,0.617,0.0,1losCJa0dcFV6HgZoqEESf,0.0131,8.0,0.421,-7.744,1.0,Spiral,41.0,2000-10-31,0.0251,96.976,0.417,2000.0
1,0.489,['Grupo Laberinto'],0.454,143987.0,2.399783333333333,0.568,0.0,1JXbiNdyUxrarBemQfAqYJ,3.74e-06,10.0,0.326,-7.074,1.0,Tu Derrota,42.0,2000-01-01,0.106,197.795,0.971,2000.0
2,0.000126,['Disturbed'],0.609,203773.0,3.3962166666666667,0.843,0.0,3jYNZPZA5qZHSdSAxBdn5q,0.000239,6.0,0.0535,-3.9,1.0,Violence Fetish,43.0,2000-02-25,0.0369,92.928,0.625,2000.0
3,0.016,['South Park Mexican'],0.785,240293.0,4.004883333333334,0.7909999999999999,1.0,36grBPDg2X9tpIDJVxyqw0,1.2e-05,7.0,0.124,-5.553,1.0,Hillwood Hustlaz II,38.0,2000-12-12,0.12,77.001,0.937,2000.0
4,0.0135,['Green Day'],0.708,213240.0,3.5540000000000003,0.6920000000000001,0.0,4gd9sHUPgvFpQz70Oj4bwe,3.92e-05,1.0,0.0742,-4.2860000000000005,0.0,"Blood, Sex and Booze",45.0,2000-10-03,0.0341,92.631,0.42,2000.0
5,0.494,['Queens of the Stone Age'],0.369,241000.0,4.016666666666667,0.7390000000000001,0.0,2Nt0KxMdXtpwUiiiIFp2Cq,0.0639,11.0,0.5589999999999999,-4.607,0.0,Auto Pilot,41.0,2000-06-06,0.0395,79.008,0.416,2000.0
6,0.406,['Jay Chou'],0.603,280493.0,4.674883333333333,0.292,0.0,1lHR2yz3Dl8U0fNJjpFuge,0.0,10.0,0.136,-7.622000000000001,1.0,黑色幽默,50.0,2000-11-06,0.0282,127.905,0.231,2000.0
7,0.00239,['Coldplay'],0.429,266773.0,4.446216666666667,0.6609999999999999,0.0,3e0wYnFxkqinmtXebYPMSt,0.00013000000000000002,11.0,0.234,-7.227,1.0,Yellow,51.0,2000-06-26,0.0281,173.365,0.285,2000.0
8,0.00774,['South Park Mexican'],0.664,290733.0,4.84555,0.5329999999999999,1.0,5lp8Q8OquwsDz0fHLkjpha,0.0,0.0,0.21,-5.9579999999999975,1.0,The System,41.0,2001-11-06,0.0774,79.975,0.376,2001.0
9,0.0157,['John Mayer'],0.591,216360.0,3.6060000000000003,0.617,0.0,2MCBSxOnkMcVkbaLplGYjX,4.35e-05,0.0,0.146,-7.495,1.0,Great Indoors,45.0,2001-08-16,0.0259,109.956,0.48,2001.0
10,0.127,['Gorillaz'],0.625,272947.0,4.5491166666666665,0.716,0.0,3kKzopL09gU1FLnV3OKQq2,0.478,8.0,0.0842,-11.376,0.0,Man Research (Clapper),41.0,2001,0.0592,95.739,0.838,2001.0
11,0.158,['Los Tigres Del Norte'],0.759,218507.0,3.6417833333333336,0.502,0.0,6WjPPtUzYfZwckWmFFz9SP,0.00103,9.0,0.21600000000000005,-10.253,1.0,El Zorro De Ojinaga,47.0,2001-01-01,0.108,106.063,0.847,2001.0
12,0.807,['John Williams'],0.269,508533.0,8.47555,0.299,0.0,4aL5x9pzbU5PTLca3oJjo3,0.8540000000000001,1.0,0.105,-17.984,1.0,The Quidditch Match,48.0,2001-10-30,0.0413,138.999,0.102,2001.0
13,0.109,['South Park Mexican'],0.725,272373.0,4.53955,0.755,1.0,1A5OCmFgp0Xb9l6fu3up10,1.63e-05,9.0,0.213,-7.25,1.0,Broadway,40.0,2001-11-06,0.0636,147.987,0.5379999999999999,2001.0
